                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.70171,                0.33628,                0.84258,                0.97941,                0.96734,                0.99186,                0.80801,                0.50425,                0.24539,                 0.8842,              0.0081784,              0.0081784,              0.0081784
                     48,                 0.7007,                0.33676,                0.84533,                0.97789,                 0.9723,                0.99184,                0.81977,                0.48832,                0.24012,                0.88439,              0.0081388,              0.0081388,              0.0081388
                     49,                0.69032,                0.33343,                0.84592,                0.97754,                0.97032,                0.99156,                0.81228,                0.49746,                0.24184,                0.88588,              0.0080992,              0.0080992,              0.0080992
                     50,                0.68976,                0.33151,                0.84489,                0.97871,                0.97065,                0.99179,                0.81844,                0.49093,                0.24074,                0.88439,              0.0080596,              0.0080596,              0.0080596
                     51,                0.68348,                0.33038,                 0.8422,                0.97868,                0.97343,                0.99217,                0.81414,                0.49954,                0.24026,                 0.8865,                0.00802,                0.00802,                0.00802
                     52,                0.68164,                0.32866,                 0.8448,                0.97975,                0.97075,                0.99176,                 0.8144,                0.49545,                0.23891,                0.88646,              0.0079804,              0.0079804,              0.0079804
                     53,                0.68646,                0.33069,                0.84301,                0.98019,                0.96818,                0.99148,                0.81442,                0.49471,                0.24107,                 0.8833,              0.0079408,              0.0079408,              0.0079408
                     54,                0.68012,                 0.3267,                0.84349,                0.98011,                0.96907,                0.99185,                0.81454,                 0.4936,                0.23872,                0.88624,              0.0079012,              0.0079012,              0.0079012
                     55,                0.67715,                0.32694,                0.84378,                0.97955,                0.97194,                0.99221,                0.82203,                0.48849,                 0.2357,                0.88652,              0.0078616,              0.0078616,              0.0078616
                     56,                0.67568,                0.32505,                0.84287,                0.97816,                0.97095,                0.99152,                0.81836,                0.48902,                0.23516,                0.88613,               0.007822,               0.007822,               0.007822
                     57,                0.66962,                0.32293,                0.84213,                0.97777,                0.97168,                0.99166,                0.81751,                0.49087,                0.23764,                0.88447,              0.0077824,              0.0077824,              0.0077824
                     58,                0.66807,                0.32195,                0.84124,                0.98037,                0.97142,                0.99185,                0.81729,                0.48998,                0.23692,                0.88457,              0.0077428,              0.0077428,              0.0077428
                     59,                0.67335,                0.32351,                0.84173,                0.97645,                0.97341,                 0.9918,                 0.8221,                0.48616,                0.23398,                0.88412,              0.0077032,              0.0077032,              0.0077032
                     60,                 0.6737,                0.32367,                0.84298,                0.98234,                0.96829,                0.99193,                0.81898,                0.48534,                0.23294,                0.88259,              0.0076636,              0.0076636,              0.0076636
                     61,                0.66497,                0.32028,                0.84035,                0.98222,                0.97019,                0.99212,                0.82383,                0.48268,                0.23054,                0.88391,               0.007624,               0.007624,               0.007624
                     62,                0.66637,                0.32152,                0.84328,                0.97977,                0.97245,                0.99196,                0.82477,                0.48242,                0.23518,                 0.8816,              0.0075844,              0.0075844,              0.0075844
                     63,                0.66215,                0.31855,                0.83944,                0.98111,                0.97204,                0.99192,                0.82387,                0.48078,                 0.2307,                0.87899,              0.0075448,              0.0075448,              0.0075448
                     64,                0.65852,                0.31632,                0.84167,                0.98356,                0.96947,                0.99203,                0.82013,                0.48533,                0.23105,                0.88145,              0.0075052,              0.0075052,              0.0075052
                     65,                0.65764,                0.31672,                0.84027,                0.98223,                0.97214,                0.99181,                 0.8254,                0.47963,                0.23079,                0.88319,              0.0074656,              0.0074656,              0.0074656
                     66,                0.66035,                0.31785,                0.84096,                0.98224,                0.97085,                0.99202,                0.82064,                0.48208,                 0.2303,                0.87948,               0.007426,               0.007426,               0.007426
                     67,                0.65356,                 0.3154,                0.84087,                0.98042,                0.97317,                0.99198,                 0.8238,                0.47795,                0.23014,                0.87888,              0.0073864,              0.0073864,              0.0073864
                     68,                0.65659,                0.31621,                0.83996,                0.97771,                0.97567,                0.99219,                0.82478,                0.47911,                0.23027,                0.87973,              0.0073468,              0.0073468,              0.0073468
                     69,                0.65619,                0.31522,                0.84015,                0.98012,                0.97497,                0.99209,                0.82576,                0.47875,                0.22989,                0.88023,              0.0073072,              0.0073072,              0.0073072
                     70,                0.65594,                0.31598,                 0.8377,                0.98075,                0.97308,                 0.9924,                0.82868,                0.47558,                 0.2282,                0.88109,              0.0072676,              0.0072676,              0.0072676
                     71,                0.65029,                0.31233,                0.83927,                0.98056,                0.97419,                0.99213,                0.82935,                0.47467,                0.22827,                0.87841,               0.007228,               0.007228,               0.007228
                     72,                0.64911,                0.31231,                0.83852,                0.98237,                0.97286,                0.99187,                0.82608,                0.47671,                0.22809,                 0.8784,              0.0071884,              0.0071884,              0.0071884
                     73,                0.64674,                0.31067,                0.83782,                0.98194,                  0.974,                0.99216,                0.83049,                 0.4715,                0.22656,                0.87652,              0.0071488,              0.0071488,              0.0071488
                     74,                0.64644,                   0.31,                 0.8374,                 0.9827,                0.97371,                0.99219,                0.82994,                0.47263,                0.22615,                0.87681,              0.0071092,              0.0071092,              0.0071092
                     75,                0.64958,                0.31164,                0.83796,                0.98211,                0.97521,                0.99237,                0.83271,                0.47014,                0.22522,                0.87672,              0.0070696,              0.0070696,              0.0070696
                     76,                0.64043,                0.30829,                 0.8384,                0.98219,                 0.9741,                 0.9923,                0.83025,                0.47443,                0.22612,                0.87827,                0.00703,                0.00703,                0.00703
                     77,                 0.6423,                 0.3086,                0.83548,                0.98379,                0.97317,                0.99229,                0.83278,                0.47153,                0.22388,                0.87717,              0.0069904,              0.0069904,              0.0069904
                     78,                0.64309,                0.30831,                0.83635,                0.98318,                0.97364,                0.99226,                0.83215,                0.46918,                0.22289,                0.87693,              0.0069508,              0.0069508,              0.0069508
                     79,                0.63888,                0.30652,                0.83763,                0.98207,                0.97601,                0.99227,                0.83489,                0.46843,                0.22324,                0.87787,              0.0069112,              0.0069112,              0.0069112
                     80,                0.63726,                0.30653,                0.83581,                0.98226,                0.97492,                0.99234,                0.83485,                0.46962,                 0.2209,                0.87985,              0.0068716,              0.0068716,              0.0068716
                     81,                0.63444,                0.30577,                 0.8368,                0.98046,                0.97676,                0.99243,                0.83194,                0.47208,                0.22192,                0.87978,               0.006832,               0.006832,               0.006832
                     82,                0.63702,                0.30559,                0.83458,                0.98156,                0.97539,                0.99213,                0.83358,                0.46864,                0.22111,                0.87815,              0.0067924,              0.0067924,              0.0067924
                     83,                 0.6331,                0.30447,                0.83526,                0.98095,                0.97557,                0.99208,                0.83408,                0.46778,                0.21943,                0.87667,              0.0067528,              0.0067528,              0.0067528
                     84,                0.63584,                0.30541,                0.83367,                0.98275,                0.97451,                 0.9922,                0.83189,                0.47059,                 0.2213,                0.87532,              0.0067132,              0.0067132,              0.0067132
                     85,                0.63524,                0.30445,                0.83258,                 0.9862,                0.97142,                0.99216,                0.83241,                0.46758,                0.22077,                 0.8748,              0.0066736,              0.0066736,              0.0066736
                     86,                 0.6282,                0.30131,                0.83322,                 0.9816,                 0.9754,                0.99192,                0.83337,                0.46636,                0.22101,                0.87676,               0.006634,               0.006634,               0.006634
                     87,                0.62765,                0.30082,                0.83302,                0.98573,                0.97194,                0.99232,                0.83599,                0.46509,                0.21902,                0.87572,              0.0065944,              0.0065944,              0.0065944
                     88,                0.62263,                 0.2989,                0.83288,                0.98121,                 0.9763,                0.99234,                0.83599,                0.46323,                0.21792,                0.87716,              0.0065548,              0.0065548,              0.0065548
                     89,                0.62282,                0.30082,                 0.8357,                0.98333,                0.97527,                0.99246,                0.83826,                0.46557,                0.21958,                0.87998,              0.0065152,              0.0065152,              0.0065152
                     90,                0.62638,                0.30211,                0.83466,                0.98353,                0.97443,                0.99234,                 0.8382,                0.46338,                0.22168,                0.87854,              0.0064756,              0.0064756,              0.0064756
                     91,                0.62414,                0.29959,                0.83425,                0.98419,                0.97374,                0.99237,                 0.8379,                0.46358,                0.22024,                0.87818,               0.006436,               0.006436,               0.006436
                     92,                0.62427,                0.29902,                0.83187,                0.98245,                0.97698,                0.99254,                0.83893,                0.46138,                0.21843,                0.87686,              0.0063964,              0.0063964,              0.0063964
                     93,                0.61878,                0.29584,                0.83369,                 0.9829,                0.97724,                0.99259,                0.83902,                0.46017,                0.21653,                0.87635,              0.0063568,              0.0063568,              0.0063568
                     94,                0.61968,                0.29794,                0.83467,                0.98351,                0.97654,                 0.9925,                0.83765,                0.46255,                0.21715,                0.87567,              0.0063172,              0.0063172,              0.0063172
                     95,                0.61933,                0.29663,                0.83292,                0.98291,                0.97738,                0.99249,                0.83806,                0.46218,                0.21676,                0.87694,              0.0062776,              0.0062776,              0.0062776
                     96,                0.62081,                0.29734,                0.83143,                 0.9823,                 0.9776,                0.99241,                0.83969,                0.45987,                0.21667,                0.87803,               0.006238,               0.006238,               0.006238
                     97,                 0.6182,                0.29644,                0.83123,                0.98177,                0.97786,                0.99239,                0.83875,                 0.4603,                0.21593,                0.87892,              0.0061984,              0.0061984,              0.0061984
                     98,                0.61476,                0.29389,                0.83188,                0.98307,                0.97698,                0.99212,                0.83877,                0.46032,                0.21611,                0.87851,              0.0061588,              0.0061588,              0.0061588
                     99,                0.60665,                0.29232,                0.83098,                0.98283,                0.97786,                0.99251,                0.84113,                0.45786,                0.21572,                0.87813,              0.0061192,              0.0061192,              0.0061192
                    100,                0.61358,                0.29478,                0.82918,                0.98291,                 0.9776,                0.99247,                0.84262,                 0.4563,                0.21474,                0.87797,              0.0060796,              0.0060796,              0.0060796
                    101,                0.61491,                0.29436,                 0.8305,                0.98344,                 0.9774,                0.99228,                0.84176,                0.45564,                0.21339,                0.87673,                0.00604,                0.00604,                0.00604
                    102,                0.61094,                0.29228,                0.82972,                0.98281,                0.97755,                0.99241,                0.84117,                 0.4565,                0.21305,                 0.8765,              0.0060004,              0.0060004,              0.0060004
                    103,                0.60901,                0.29126,                0.83046,                0.98544,                0.97601,                0.99237,                0.83932,                0.45814,                0.21254,                0.87674,              0.0059608,              0.0059608,              0.0059608
                    104,                0.60723,                0.29088,                0.83093,                0.98298,                0.97827,                0.99252,                0.84115,                0.45768,                0.21219,                0.87728,              0.0059212,              0.0059212,              0.0059212
                    105,                0.60793,                0.29212,                0.83177,                0.98479,                0.97654,                0.99246,                0.84093,                0.45984,                0.21265,                0.87834,              0.0058816,              0.0058816,              0.0058816
                    106,                0.60469,                0.28971,                0.82815,                0.98494,                 0.9765,                 0.9924,                0.84301,                0.45678,                0.21272,                0.87862,               0.005842,               0.005842,               0.005842
                    107,                0.60301,                0.28961,                 0.8308,                0.98314,                0.97843,                0.99231,                0.84298,                0.45641,                0.21157,                0.87842,              0.0058024,              0.0058024,              0.0058024
                    108,                0.60691,                0.28964,                0.83042,                0.98304,                0.97871,                0.99232,                0.84316,                0.45703,                 0.2126,                 0.8786,              0.0057628,              0.0057628,              0.0057628
                    109,                0.60443,                0.28874,                0.82905,                0.98264,                0.97853,                 0.9923,                0.84263,                0.45804,                0.21158,                0.87877,              0.0057232,              0.0057232,              0.0057232
                    110,                0.60003,                 0.2869,                0.82982,                0.98345,                0.97868,                0.99227,                0.84205,                0.45877,                0.21222,                0.87913,              0.0056836,              0.0056836,              0.0056836
                    111,                 0.5993,                0.28659,                0.82833,                0.98334,                0.97883,                0.99232,                0.84318,                0.45684,                0.21166,                 0.8791,               0.005644,               0.005644,               0.005644
                    112,                0.60021,                0.28664,                0.82788,                0.98312,                0.97904,                0.99229,                0.84284,                0.45704,                0.21091,                0.87971,              0.0056044,              0.0056044,              0.0056044
                    113,                0.60093,                 0.2871,                0.82815,                0.98229,                 0.9793,                0.99239,                0.84288,                0.45645,                0.21043,                0.87965,              0.0055648,              0.0055648,              0.0055648
                    114,                0.59841,                0.28631,                0.83033,                0.98243,                0.97906,                 0.9925,                0.84311,                0.45667,                0.21069,                0.87971,              0.0055252,              0.0055252,              0.0055252
